Facility,Region,Category,Service,Base Cost (KES),NHIF Covered,Insurance Copay (KES),Out-of-Pocket (KES)
Pumwani Maternity Hospital,Pumwani,Consultation,Referral Specialist Visit,1112.87,Yes,394.58,718.29
Kakamega County Referral Hospital,Kakamega,Consultation,Initial Consultation,6629.94,Yes,2011.71,4618.23
Machakos Level 5 Hospital,Machakos,Lab Test,Fbc (Full Blood Count),18197.55,Yes,3634.36,14563.19
Embu Level 5 Hospital,Embu,Lab Test,Pap Smear,8502.47,Yes,3419.87,5082.6
Mombasa County Hospital,Mombasa,Consultation,Follow-Up Visit,4961.56,Yes,648.93,4312.63
Pumwani Maternity Hospital,Embu,Lab Test,Urinalysis,6150.15,Yes,1011.63,5138.52
Embu Level 5 Hospital,Embu,Lab Test,Ca-125 Blood Test,18629.1,Yes,7884.73,10744.37
Embu Level 5 Hospital,Embu,Consultation,Follow-Up Visit,12851.37,No,0.0,12851.37
Embu Level 5 Hospital,Embu,Consultation,Referral Specialist Visit,17493.48,No,0.0,17493.48
Kericho County Referral Hospital,Nakuru,Lab Test,Ca-125 Blood Test,16171.61,No,0.0,16171.61
Loitoktok Sub-County Hospital,Loitoktok,Surgery,Ovarian Cystectomy,4138.12,No,0.0,4138.12
Mombasa County Hospital,Mombasa,Surgery,Ovarian Cystectomy,17904.9,No,0.0,17904.9
Machakos Level 5 Hospital,Machakos,Consultation,Follow-Up Visit,11017.17,Yes,4660.0,6357.17
Moi Teaching And Referral Hospital,Moi,Consultation,Referral Specialist Visit,17973.78,Yes,4083.67,13890.11
Mombasa County Hospital,Mombasa,Lab Test,Pap Smear,2646.01,Yes,505.85,2140.16
Moi Teaching And Referral Hospital,Moi,Surgery,Ovarian Cystectomy,8828.6,Yes,3771.63,5056.97
Loitoktok Sub-County Hospital,Loitoktok,Consultation,Follow-Up Visit,17284.25,Yes,1776.49,15507.76
Pumwani Maternity Hospital,Pumwani,Surgery,Ovarian Cystectomy,10459.57,Yes,2792.33,7667.24
